Kabupaten/Kota,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Nusantara Menurut Tujuan (Perjalanan),,,,,,,,,,,
,2026,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
D.I. Yogyakarta,3530043,3087623,3763897,3592783,-,-,-,-,-,-,-,-
Kulonprogo,206658,191721,321719,210130,-,-,-,-,-,-,-,-
Bantul,594359,535281,685204,604911,-,-,-,-,-,-,-,-
Gunungkidul,587139,425347,745150,601246,-,-,-,-,-,-,-,-
Sleman,1238176,1155112,1264974,1277459,-,-,-,-,-,-,-,-
Kota Yogyakarta,903711,750162,746850,899037,-,-,-,-,-,-,-,-
